titleType,originalTitle,genres,runtimeMinutes,startYear,isAdult,averageRating,region,actor,actress,director,producer
movie,Inuyasha - Toki wo Koeru Omoi,"Action,Adventure,Animation",100.0,2001.0,0,7.3,NZ,"Kôji Tsujitani, Kappei Yamaguchi","Houko Kuwashima, Satsuki Yukino",Toshiya Shinohara,
movie,Mere Yaar Ki Shaadi Hai,"Comedy,Drama,Romance",158.0,2002.0,0,5.3,IN,"Uday Chopra, Jimmy Sheirgill","Bipasha Basu, Tanaaz Currim Irani",Sanjay Gadhvi,Yash Chopra
movie,De tweeling,"Drama,Romance,War",137.0,2002.0,0,7.4,XWW,,"Gudrun Okras, Thekla Reuten, Nadja Uhl, Ellen Vogel",Ben Sombogaart,"Hanneke Niens, Anton Smit"
movie,L'imbalsamatore,"Drama,Romance",100.0,2002.0,0,7.0,XWW,"Ernesto Mahieux, Valerio Foglia Manzillo","Lina Bernardi, Elisabetta Rocchetti",Matteo Garrone,Domenico Procacci
movie,Jagoda u supermarketu,"Action,Adventure,Comedy",83.0,2003.0,0,6.5,XWW,"Danilo Lazovic, Srdjan 'Zika' Todorovic","Branka Katic, Dubravka Mijatovic",Dusan Milic,Emir Kusturica
movie,Japón,Drama,130.0,2002.0,0,6.9,XWW,"Alejandro Ferretis, Martín Serrano","Magdalena Flores, Yolanda Villa",Carlos Reygadas,
movie,Lakshya,"Action,Drama,Romance",186.0,2004.0,0,7.9,IN,"Amitabh Bachchan, Hrithik Roshan, Om Puri",Preity Zinta,Farhan Akhtar,Ritesh Sidhwani
movie,Loving Annabelle,"Drama,Romance",77.0,2006.0,0,6.3,CA,,"Laura Breckenridge, Diane Gaidry, Michelle Horn, Erin Kelly",Katherine Brooks,"Gregory Carroll, Jennifer Young"
movie,Nousukausi,Comedy,98.0,2003.0,0,6.7,XWW,"Petteri Summanen, Kari-Pekka Toivonen, Juha Veijonen",Tiina Lymi,Johanna Vuoksenmaa,Lasse Saarinen
movie,Pahat pojat,"Action,Biography,Crime",126.0,2003.0,0,6.2,XWW,"Peter Franzén, Lauri Nurkse, Jasper Pääkkönen, Niko Saarela",,Aleksi Mäkelä,Markus Selin
movie,Nemesis Game,"Mystery,Thriller",92.0,2003.0,0,5.5,CA,"Adrian Paul, Ian McShane","Carly Pope, Rena Owen",Jesse Warn,"Suzanne L. Berger, Matthew Metcalfe"
movie,Pon,"Horror,Mystery,Thriller",104.0,2002.0,0,6.2,JP,Woo-jae Choi,"Jeong-yun Choi, Ji-won Ha, Yu-mi Kim, Seo-woo Eun, Ji-yeon Choi",Byeong-ki Ahn,
movie,Ricordati di me,"Comedy,Drama,Romance",125.0,2003.0,0,6.4,JP,Fabrizio Bentivoglio,"Monica Bellucci, Laura Morante, Nicoletta Romanoff",Gabriele Muccino,Domenico Procacci
movie,Seinto Seiya: Jashin Erisu,"Action,Animation,Fantasy",46.0,1987.0,0,6.5,JP,"Tôru Furuya, Hideyuki Hori, Ryô Horikawa, Hirotaka Suzuoki",,Kôzô Morishita,
movie,Salmer fra kjøkkenet,"Comedy,Drama",95.0,2003.0,0,7.3,XWW,"Reine Brynolfsson, Joachim Calmeyer, Bjørn Floberg, Tomas Norström",,Bent Hamer,
movie,Shade,"Crime,Thriller",101.0,2003.0,0,6.3,JP,"Frank Medrano, George Tovar, Joe Nicolo, Carl Mazzocone Sr.",,Damian Nieman,"Merv Griffin, Ted Hartley, David Schnepp, Chris Hammond"
movie,Smala Sussie,"Comedy,Crime,Mystery",97.0,2003.0,0,6.9,XEU,"Kjell Bergqvist, Björn A. Ling, Jonas Rimeika",Tuva Novotny,Ulf Malmros,Christer Nilson
movie,Suspect Zero,"Crime,Horror,Mystery",99.0,2004.0,0,5.8,PH,"Aaron Eckhart, Ben Kingsley, Harry Lennix",Carrie-Anne Moss,E. Elias Merhige,"Paula Wagner, Gaye Hirsch"
movie,Swimming Pool,"Crime,Drama,Mystery",102.0,2003.0,0,6.7,JP,"Charles Dance, Jean-Marie Lamour","Charlotte Rampling, Ludivine Sagnier",François Ozon,"Olivier Delbosc, Marc Missonnier"
movie,Le temps du loup,"Drama,Horror",114.0,2003.0,0,6.6,XWW,Patrice Chéreau,"Béatrice Dalle, Isabelle Huppert, Anaïs Demoustier",Michael Haneke,"Veit Heiduschka, Margaret Ménégoz"
movie,The Texas Chainsaw Massacre,Horror,98.0,2003.0,0,6.2,JP,"Jonathan Tucker, Andrew Bryniarski","Jessica Biel, Erica Leerhsen",Marcus Nispel,"Michael Bay, Mike Fleiss"
movie,Sam gang,"Horror,Mystery",140.0,2002.0,0,6.2,XWW,"Leon Lai, Bo-seok Jeong, Suwinit Panjamawat",Hye-su Kim,"Peter Ho-Sun Chan, Jee-woon Kim, Nonzee Nimibutr",
movie,[Anti]killer,"Action,Crime",114.0,2002.0,0,5.6,XWW,"Aleksandr Baluev, Yuriy Kutsenko, Sergey Shakurov, Mikhail Ulyanov",,Egor Konchalovskiy,"Yusup Bakhshiev, Vladimir Kilburg"
movie,"Arrivederci amore, ciao","Crime,Drama,Thriller",107.0,2006.0,0,6.9,NZ,"Alessio Boni, Michele Placido","Isabella Ferrari, Alina Nedelea",Michele Soavi,
movie,Bright Young Things,"Comedy,Drama,War",102.0,2003.0,0,6.6,CA,"Dan Aykroyd, Simon McBurney, Stephen Campbell Moore",Emily Mortimer,Stephen Fry,"Gina Carter, Miranda Davis"
movie,La caja 507,"Action,Crime,Drama",104.0,2002.0,0,6.8,XWW,"Antonio Resines, Félix Álvarez","Dafne Fernández, Miriam Montilla",Enrique Urbizu,"Fernando Bovaira, Gustavo Ferrada"
